customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
xxxx-00000,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.95,1702.4,No
xxxx-00001,Female,1,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),22.77,542.32,Yes
xxxx-00002,Male,0,No,No,60,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),40.76,2444.69,No
xxxx-00003,Male,0,Yes,No,25,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,33.71,830.57,No
xxxx-00004,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,37.57,1233.46,Yes
xxxx-00005,Female,1,Yes,No,8,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),30.51,228.49,No
xxxx-00006,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,44.26,1748.14,Yes
xxxx-00007,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),37.54,202.48,No
xxxx-00008,Male,0,Yes,No,29,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.04,725.98,No
xxxx-00009,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,36.45,2403.24,No
xxxx-00010,Male,0,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.92,585.44,No
xxxx-00011,Male,0,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.5,1212.2,No
xxxx-00012,Male,0,No,No,57,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,31.38,1797.91,No
xxxx-00013,Male,0,No,Yes,54,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),34.88,1862.18,No
xxxx-00014,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),35.83,452.88,No
xxxx-00015,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.78,712.92,No
xxxx-00016,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),44.24,1899.51,No
xxxx-00017,Female,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.35,106.97,No
xxxx-00018,Female,1,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),39.92,1032.55,No
xxxx-00019,Male,0,No,No,13,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,35.17,471.24,No
xxxx-00020,Female,1,Yes,No,7,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,20.56,112.87,No
xxxx-00021,Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.01,535.3,No
xxxx-00022,Female,0,Yes,Yes,38,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),27.85,1061.22,No
xxxx-00023,Female,1,Yes,No,48,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),44.67,2156.65,No
xxxx-00024,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),29.58,1814.1,No
xxxx-00025,Female,0,No,No,25,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,28.57,752.23,No
xxxx-00026,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.65,242.59,Yes
xxxx-00027,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),35.84,2040.22,No
xxxx-00028,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.76,498.98,No
xxxx-00029,Female,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.63,1489.57,No
xxxx-00030,Male,0,Yes,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.53,1056.63,No
xxxx-00031,Male,0,Yes,No,30,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),37.59,1138.31,Yes
xxxx-00032,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,866.08,No
xxxx-00033,Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),36.01,520.64,No
xxxx-00034,Female,0,Yes,Yes,71,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,22.64,1620.22,No
xxxx-00035,Male,0,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,883.14,No
xxxx-00036,Female,1,Yes,No,14,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.6,453.05,Yes
xxxx-00037,Male,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,660.92,No
xxxx-00038,Male,1,Yes,Yes,70,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,33.31,2351.75,Yes
xxxx-00039,Male,0,Yes,No,71,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),29.1,2073.18,Yes
xxxx-00040,Male,0,No,Yes,20,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,25.4,489.64,No
xxxx-00041,Male,0,Yes,Yes,15,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,37.13,550.89,No
xxxx-00042,Female,0,No,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.25,1664.46,Yes
xxxx-00043,Female,0,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.25,1235.19,No
xxxx-00044,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.37,228.64,Yes
xxxx-00045,Female,0,No,Yes,63,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,27.38,1728.53,No
xxxx-00046,Female,1,No,Yes,60,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,25.04,1502.35,No
xxxx-00047,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),23.23,737.93,No
xxxx-00048,Female,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,33.09,357.97,No
xxxx-00049,Female,0,No,Yes,40,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),35.37,1394.99,No
xxxx-00050,Male,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,39.5,2584.95,No
xxxx-00051,Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.72,178.19,No
xxxx-00052,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),35.31,2066.09,No
xxxx-00053,Female,1,No,No,24,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,33.37,803.17,Yes
xxxx-00054,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),31.68,98.96,No
xxxx-00055,Female,0,No,No,44,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.25,1731.91,Yes
xxxx-00056,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,14.57,No
